standort,zielcluster,referenzpaar,referenzcluster,gewichtungsverfahren,referenzgewicht_0_bis_1
Alpen-Sevelen,AS-03,AS-04--AS-05,AS-04,1/d^2,0.8328624968372554
Alpen-Sevelen,AS-03,AS-04--AS-05,AS-05,1/d^2,0.1671375031627445
Alpen-Sevelen,AS-03,AS-04--AS-05,AS-04,Wald + Wind,0.5593509269035876
Alpen-Sevelen,AS-03,AS-04--AS-05,AS-05,Wald + Wind,0.4406490730964124
Alpen-Sevelen,AS-03,AS-04--AS-05,AS-04,Vollstaendig,0.5574890430377083
Alpen-Sevelen,AS-03,AS-04--AS-05,AS-05,Vollstaendig,0.4425109569622917
Alpen-Sevelen,AS-03,AS-04--AS-06,AS-04,Gleichgewichtung,0.5
Alpen-Sevelen,AS-03,AS-04--AS-06,AS-06,Gleichgewichtung,0.5
Alpen-Sevelen,AS-03,AS-04--AS-06,AS-04,1/d^2,0.7746673761854205
Alpen-Sevelen,AS-03,AS-04--AS-06,AS-06,1/d^2,0.2253326238145795
Alpen-Sevelen,AS-03,AS-04--AS-06,AS-04,Wald + Wind,0.5224648087959038
Alpen-Sevelen,AS-03,AS-04--AS-06,AS-06,Wald + Wind,0.4775351912040961
Alpen-Sevelen,AS-03,AS-04--AS-06,AS-04,Vollstaendig,0.5225307779470938
Alpen-Sevelen,AS-03,AS-04--AS-06,AS-06,Vollstaendig,0.4774692220529062
Alpen-Sevelen,AS-03,AS-05--AS-06,AS-05,Gleichgewichtung,0.5
Alpen-Sevelen,AS-03,AS-05--AS-06,AS-06,Gleichgewichtung,0.5
Alpen-Sevelen,AS-03,AS-05--AS-06,AS-05,1/d^2,0.4082521525636112
Alpen-Sevelen,AS-03,AS-05--AS-06,AS-06,1/d^2,0.5917478474363888
Alpen-Sevelen,AS-03,AS-05--AS-06,AS-05,Wald + Wind,0.462916104991771
Alpen-Sevelen,AS-03,AS-05--AS-06,AS-06,Wald + Wind,0.537083895008229
Alpen-Sevelen,AS-03,AS-05--AS-06,AS-05,Vollstaendig,0.464859669644148
Alpen-Sevelen,AS-03,AS-05--AS-06,AS-06,Vollstaendig,0.5351403303558521
Alpen-Sevelen,AS-04,AS-01--AS-02,AS-01,Gleichgewichtung,0.5
Alpen-Sevelen,AS-04,AS-01--AS-02,AS-02,Gleichgewichtung,0.5
Alpen-Sevelen,AS-04,AS-01--AS-02,AS-01,1/d^2,0.6590501307570581
Alpen-Sevelen,AS-04,AS-01--AS-02,AS-02,1/d^2,0.3409498692429419
Alpen-Sevelen,AS-04,AS-01--AS-02,AS-01,Wald + Wind,0.4322816492934052
Alpen-Sevelen,AS-04,AS-01--AS-02,AS-02,Wald + Wind,0.5677183507065948
Alpen-Sevelen,AS-04,AS-01--AS-02,AS-01,Vollstaendig,0.4657959041822397
Alpen-Sevelen,AS-04,AS-01--AS-02,AS-02,Vollstaendig,0.5342040958177603
Alpen-Sevelen,AS-04,AS-01--AS-03,AS-01,Gleichgewichtung,0.5
Alpen-Sevelen,AS-04,AS-01--AS-03,AS-03,Gleichgewichtung,0.5
Alpen-Sevelen,AS-04,AS-01--AS-03,AS-01,1/d^2,0.0377544529209029
Alpen-Sevelen,AS-04,AS-01--AS-03,AS-03,1/d^2,0.962245547079097
Alpen-Sevelen,AS-04,AS-01--AS-03,AS-01,Wald + Wind,0.3851850173367673
Alpen-Sevelen,AS-04,AS-01--AS-03,AS-03,Wald + Wind,0.6148149826632328
Alpen-Sevelen,AS-04,AS-01--AS-03,AS-01,Vollstaendig,0.4094485940224717
Alpen-Sevelen,AS-04,AS-01--AS-03,AS-03,Vollstaendig,0.5905514059775282
Alpen-Sevelen,AS-04,AS-01--AS-05,AS-01,Gleichgewichtung,0.5
Alpen-Sevelen,AS-04,AS-01--AS-05,AS-05,Gleichgewichtung,0.5
Alpen-Sevelen,AS-04,AS-01--AS-05,AS-01,1/d^2,0.0689930810484166
Alpen-Sevelen,AS-04,AS-01--AS-05,AS-05,1/d^2,0.9310069189515834
Alpen-Sevelen,AS-04,AS-01--AS-05,AS-01,Wald + Wind,0.3917525419665661
Alpen-Sevelen,AS-04,AS-01--AS-05,AS-05,Wald + Wind,0.6082474580334338
Alpen-Sevelen,AS-04,AS-01--AS-05,AS-01,Vollstaendig,0.43109381815417
Alpen-Sevelen,AS-04,AS-01--AS-05,AS-05,Vollstaendig,0.56890618184583
Alpen-Sevelen,AS-04,AS-01--AS-06,AS-01,Gleichgewichtung,0.5
Alpen-Sevelen,AS-04,AS-01--AS-06,AS-06,Gleichgewichtung,0.5
Alpen-Sevelen,AS-04,AS-01--AS-06,AS-01,1/d^2,0.0548003628028669
Alpen-Sevelen,AS-04,AS-01--AS-06,AS-06,1/d^2,0.9451996371971332
Alpen-Sevelen,AS-04,AS-01--AS-06,AS-01,Wald + Wind,0.3361230692028477
Alpen-Sevelen,AS-04,AS-01--AS-06,AS-06,Wald + Wind,0.6638769307971523
Alpen-Sevelen,AS-04,AS-01--AS-06,AS-01,Vollstaendig,0.3759229259464279
