modell,teststandort,alpha,mae_direkte_fehlerprognose
RIX + Rauigkeit + Wald,Rheda-Beckum,1.0,0.0226112012752628
RIX + Rauigkeit + Wind,Alpen-Sevelen,1.0,0.0197625710378098
RIX + Rauigkeit + Wind,Altenmellrich,1.0,0.0542586726150526
RIX + Rauigkeit + Wind,Bad Berleburg,0.1,0.3284585357966545
RIX + Rauigkeit + Wind,Borken-Coesfeld,1.0,0.0260646540367832
RIX + Rauigkeit + Wind,Lorup,1.0,0.041840096687875
RIX + Rauigkeit + Wind,Ostfriesland,1.0,0.0284559379219598
RIX + Rauigkeit + Wind,Paderborn,10.0,0.0503743328954272
RIX + Rauigkeit + Wind,Rheda-Beckum,1.0,0.0206717125487596
RIX + Wald + Wind,Alpen-Sevelen,1.0,0.0198792796298351
RIX + Wald + Wind,Altenmellrich,1.0,0.0515216333299401
RIX + Wald + Wind,Bad Berleburg,1.0,0.0777315192955068
RIX + Wald + Wind,Borken-Coesfeld,1.0,0.0239511006895638
RIX + Wald + Wind,Lorup,1.0,0.0466231076162376
RIX + Wald + Wind,Ostfriesland,1.0,0.024149976299188
RIX + Wald + Wind,Paderborn,10.0,0.0500404505558414
RIX + Wald + Wind,Rheda-Beckum,1.0,0.0197473654621496
Gelaendehoehe + Rauigkeit + Wald,Alpen-Sevelen,1.0,0.0269027021999357
Gelaendehoehe + Rauigkeit + Wald,Altenmellrich,1.0,0.0489669540337978
Gelaendehoehe + Rauigkeit + Wald,Bad Berleburg,1.0,0.0485316595964505
Gelaendehoehe + Rauigkeit + Wald,Borken-Coesfeld,1.0,0.0413604855404748
Gelaendehoehe + Rauigkeit + Wald,Lorup,1.0,0.0715812602879182
Gelaendehoehe + Rauigkeit + Wald,Ostfriesland,1.0,0.0331206256541461
Gelaendehoehe + Rauigkeit + Wald,Paderborn,1.0,0.0559088959848346
Gelaendehoehe + Rauigkeit + Wald,Rheda-Beckum,1.0,0.0243955521673191
Gelaendehoehe + Rauigkeit + Wind,Alpen-Sevelen,1.0,0.0203547337826715
Gelaendehoehe + Rauigkeit + Wind,Altenmellrich,1.0,0.0544670789950631
Gelaendehoehe + Rauigkeit + Wind,Bad Berleburg,0.1,0.1346419815215979
Gelaendehoehe + Rauigkeit + Wind,Borken-Coesfeld,1.0,0.0314836543264305
Gelaendehoehe + Rauigkeit + Wind,Lorup,1.0,0.0451718270931672
Gelaendehoehe + Rauigkeit + Wind,Ostfriesland,1.0,0.0305306806544536
Gelaendehoehe + Rauigkeit + Wind,Paderborn,1.0,0.0539399053114635
Gelaendehoehe + Rauigkeit + Wind,Rheda-Beckum,1.0,0.0222177308833584
Gelaendehoehe + Wald + Wind,Alpen-Sevelen,1.0,0.0198779406537871
Gelaendehoehe + Wald + Wind,Altenmellrich,1.0,0.0511932497497168
Gelaendehoehe + Wald + Wind,Bad Berleburg,1.0,0.0525007128529132
Gelaendehoehe + Wald + Wind,Borken-Coesfeld,1.0,0.02882038760281
Gelaendehoehe + Wald + Wind,Lorup,1.0,0.0497778434299961
Gelaendehoehe + Wald + Wind,Ostfriesland,1.0,0.0258593129235979
Gelaendehoehe + Wald + Wind,Paderborn,1.0,0.0553356552019898
Gelaendehoehe + Wald + Wind,Rheda-Beckum,1.0,0.0208305919324064
Rauigkeit + Wald + Wind,Alpen-Sevelen,1.0,0.0206206409558337
Rauigkeit + Wald + Wind,Altenmellrich,1.0,0.0520434459009876
Rauigkeit + Wald + Wind,Bad Berleburg,0.1,0.1125282429103459
Rauigkeit + Wald + Wind,Borken-Coesfeld,1.0,0.0286426422291991
Rauigkeit + Wald + Wind,Lorup,1.0,0.0545154296696162
Rauigkeit + Wald + Wind,Ostfriesland,1.0,0.0275469442049021
Rauigkeit + Wald + Wind,Paderborn,1.0,0.0510502203126875
Rauigkeit + Wald + Wind,Rheda-Beckum,1.0,0.0195895100785975
Distanz + RIX + Gelaendehoehe + Rauigkeit,Alpen-Sevelen,1.0,0.0222401010310369
Distanz + RIX + Gelaendehoehe + Rauigkeit,Altenmellrich,1.0,0.0558303712442992
Distanz + RIX + Gelaendehoehe + Rauigkeit,Bad Berleburg,1.0,0.0785924797137698
Distanz + RIX + Gelaendehoehe + Rauigkeit,Borken-Coesfeld,1.0,0.0329730811882241
Distanz + RIX + Gelaendehoehe + Rauigkeit,Lorup,1.0,0.0520504988851778
Distanz + RIX + Gelaendehoehe + Rauigkeit,Ostfriesland,1.0,0.0371652478619276
Distanz + RIX + Gelaendehoehe + Rauigkeit,Paderborn,10.0,0.051587171481897
Distanz + RIX + Gelaendehoehe + Rauigkeit,Rheda-Beckum,1.0,0.0252189531124184
Distanz + RIX + Gelaendehoehe + Wald,Alpen-Sevelen,1.0,0.0216299816829388
Distanz + RIX + Gelaendehoehe + Wald,Altenmellrich,1.0,0.0525406299106165
Distanz + RIX + Gelaendehoehe + Wald,Bad Berleburg,1.0,0.0678211396912511
Distanz + RIX + Gelaendehoehe + Wald,Borken-Coesfeld,1.0,0.0300749929340256
