standort,clusterpaar,modell,prognostiziertes_rms_logfehlerniveau
Ostfriesland,OF-03--OF-04,Konstant,0.0831577937137914
Ostfriesland,OF-01--OF-02,Distanz,0.0830697898783658
Ostfriesland,OF-01--OF-03,Distanz,0.083327558786764
Ostfriesland,OF-01--OF-04,Distanz,0.083506149749188
Ostfriesland,OF-02--OF-03,Distanz,0.083266965968864
Ostfriesland,OF-02--OF-04,Distanz,0.0834494051240822
Ostfriesland,OF-03--OF-04,Distanz,0.0832227055946089
Ostfriesland,OF-01--OF-02,Wald + Wind,0.0464321042608424
Ostfriesland,OF-01--OF-03,Wald + Wind,0.0480723905575715
Ostfriesland,OF-01--OF-04,Wald + Wind,0.0558581566554955
Ostfriesland,OF-02--OF-03,Wald + Wind,0.0485278113392556
Ostfriesland,OF-02--OF-04,Wald + Wind,0.0551175621685818
Ostfriesland,OF-03--OF-04,Wald + Wind,0.0622236724993569
Ostfriesland,OF-01--OF-02,Vollstaendig,0.0403309548451798
Ostfriesland,OF-01--OF-03,Vollstaendig,0.0494532974626358
Ostfriesland,OF-01--OF-04,Vollstaendig,0.0629758993674348
Ostfriesland,OF-02--OF-03,Vollstaendig,0.0479930211593452
Ostfriesland,OF-02--OF-04,Vollstaendig,0.0591974171194343
Ostfriesland,OF-03--OF-04,Vollstaendig,0.0544159934210016
Paderborn,PA-01--PA-10,Konstant,0.0737631224218017
Paderborn,PA-01--PA-11,Konstant,0.0737631224218017
Paderborn,PA-01--PA-12,Konstant,0.0737631224218017
Paderborn,PA-01--PA-02,Konstant,0.0737631224218017
Paderborn,PA-01--PA-03,Konstant,0.0737631224218017
Paderborn,PA-01--PA-04,Konstant,0.0737631224218017
Paderborn,PA-01--PA-05,Konstant,0.0737631224218017
Paderborn,PA-01--PA-06,Konstant,0.0737631224218017
Paderborn,PA-01--PA-07,Konstant,0.0737631224218017
Paderborn,PA-01--PA-08,Konstant,0.0737631224218017
Paderborn,PA-01--PA-09,Konstant,0.0737631224218017
Paderborn,PA-10--PA-11,Konstant,0.0737631224218017
Paderborn,PA-10--PA-12,Konstant,0.0737631224218017
Paderborn,PA-02--PA-10,Konstant,0.0737631224218017
Paderborn,PA-03--PA-10,Konstant,0.0737631224218017
Paderborn,PA-04--PA-10,Konstant,0.0737631224218017
Paderborn,PA-05--PA-10,Konstant,0.0737631224218017
Paderborn,PA-06--PA-10,Konstant,0.0737631224218017
Paderborn,PA-07--PA-10,Konstant,0.0737631224218017
Paderborn,PA-08--PA-10,Konstant,0.0737631224218017
Paderborn,PA-09--PA-10,Konstant,0.0737631224218017
Paderborn,PA-11--PA-12,Konstant,0.0737631224218017
Paderborn,PA-02--PA-11,Konstant,0.0737631224218017
Paderborn,PA-03--PA-11,Konstant,0.0737631224218017
Paderborn,PA-04--PA-11,Konstant,0.0737631224218017
Paderborn,PA-05--PA-11,Konstant,0.0737631224218017
Paderborn,PA-06--PA-11,Konstant,0.0737631224218017
Paderborn,PA-07--PA-11,Konstant,0.0737631224218017
Paderborn,PA-08--PA-11,Konstant,0.0737631224218017
Paderborn,PA-09--PA-11,Konstant,0.0737631224218017
Paderborn,PA-02--PA-12,Konstant,0.0737631224218017
Paderborn,PA-03--PA-12,Konstant,0.0737631224218017
Paderborn,PA-04--PA-12,Konstant,0.0737631224218017
Paderborn,PA-05--PA-12,Konstant,0.0737631224218017
Paderborn,PA-06--PA-12,Konstant,0.0737631224218017
Paderborn,PA-07--PA-12,Konstant,0.0737631224218017
Paderborn,PA-08--PA-12,Konstant,0.0737631224218017
Paderborn,PA-09--PA-12,Konstant,0.0737631224218017
Paderborn,PA-02--PA-03,Konstant,0.0737631224218017
Paderborn,PA-02--PA-04,Konstant,0.0737631224218017
Paderborn,PA-02--PA-05,Konstant,0.0737631224218017
Paderborn,PA-02--PA-06,Konstant,0.0737631224218017
Paderborn,PA-02--PA-07,Konstant,0.0737631224218017
Paderborn,PA-02--PA-08,Konstant,0.0737631224218017
Paderborn,PA-02--PA-09,Konstant,0.0737631224218017
Paderborn,PA-03--PA-04,Konstant,0.0737631224218017
Paderborn,PA-03--PA-05,Konstant,0.0737631224218017
Paderborn,PA-03--PA-06,Konstant,0.0737631224218017
Paderborn,PA-03--PA-07,Konstant,0.0737631224218017
Paderborn,PA-03--PA-08,Konstant,0.0737631224218017
Paderborn,PA-03--PA-09,Konstant,0.0737631224218017
Paderborn,PA-04--PA-05,Konstant,0.0737631224218017
Paderborn,PA-04--PA-06,Konstant,0.0737631224218017
