standort,zielcluster,referenzpaar,gewichtungsverfahren,log_transferfehler_kombiniert
Alpen-Sevelen,AS-05,AS-02--AS-03,1/d^2,-0.0181002867752685
Alpen-Sevelen,AS-05,AS-02--AS-03,Wald + Wind,-0.0389285449760806
Alpen-Sevelen,AS-05,AS-02--AS-03,Vollstaendig,-0.0385715232768975
Alpen-Sevelen,AS-05,AS-02--AS-04,Gleichgewichtung,-0.0551734919799076
Alpen-Sevelen,AS-05,AS-02--AS-04,1/d^2,-0.0433439371043866
Alpen-Sevelen,AS-05,AS-02--AS-04,Wald + Wind,-0.0531601039555656
Alpen-Sevelen,AS-05,AS-02--AS-04,Vollstaendig,-0.0534363073295568
Alpen-Sevelen,AS-05,AS-02--AS-06,Gleichgewichtung,-0.0323070575816377
Alpen-Sevelen,AS-05,AS-02--AS-06,1/d^2,0.0017965170073737
Alpen-Sevelen,AS-05,AS-02--AS-06,Wald + Wind,-0.0241077243690881
Alpen-Sevelen,AS-05,AS-02--AS-06,Vollstaendig,-0.0260292039231916
Alpen-Sevelen,AS-05,AS-03--AS-04,Gleichgewichtung,-0.0272969045759509
Alpen-Sevelen,AS-05,AS-03--AS-04,1/d^2,-0.0340163772443325
Alpen-Sevelen,AS-05,AS-03--AS-04,Wald + Wind,-0.0290480247161869
Alpen-Sevelen,AS-05,AS-03--AS-04,Vollstaendig,-0.0285372389745323
Alpen-Sevelen,AS-05,AS-03--AS-06,Gleichgewichtung,-0.0050521658810664
Alpen-Sevelen,AS-05,AS-03--AS-06,1/d^2,0.0013432101312103
Alpen-Sevelen,AS-05,AS-03--AS-06,Wald + Wind,-0.0035871683921512
Alpen-Sevelen,AS-05,AS-03--AS-06,Vollstaendig,-0.0040954425023179
Alpen-Sevelen,AS-05,AS-04--AS-06,Gleichgewichtung,-0.0197040893025577
Alpen-Sevelen,AS-05,AS-04--AS-06,1/d^2,-0.0048540572696063
Alpen-Sevelen,AS-05,AS-04--AS-06,Wald + Wind,-0.0178994366114974
Alpen-Sevelen,AS-05,AS-04--AS-06,Vollstaendig,-0.0186877280797399
