modell,teststandort,merkmal,koeffizient_standardisiert
Distanz + RIX + Rauigkeit,Rheda-Beckum,distanz_m,-0.031744384252757
Distanz + RIX + Rauigkeit,Rheda-Beckum,mittlerer_rix_prozent,0.4269631513684429
Distanz + RIX + Rauigkeit,Rheda-Beckum,rauigkeitsdifferenz_rms_m,0.1508866649147404
Distanz + RIX + Wald,Alpen-Sevelen,distanz_m,0.0078101609642215
Distanz + RIX + Wald,Alpen-Sevelen,mittlerer_rix_prozent,0.3577965501560998
Distanz + RIX + Wald,Alpen-Sevelen,waldanteilsdifferenz_rms,0.2865278308294107
Distanz + RIX + Wald,Altenmellrich,distanz_m,0.1538514647479298
Distanz + RIX + Wald,Altenmellrich,mittlerer_rix_prozent,0.3917241894400405
Distanz + RIX + Wald,Altenmellrich,waldanteilsdifferenz_rms,0.1711638436554768
Distanz + RIX + Wald,Bad Berleburg,distanz_m,0.0602823547174914
Distanz + RIX + Wald,Bad Berleburg,mittlerer_rix_prozent,0.463176804197184
Distanz + RIX + Wald,Bad Berleburg,waldanteilsdifferenz_rms,0.2054982704415683
Distanz + RIX + Wald,Borken-Coesfeld,distanz_m,0.0438808423960105
Distanz + RIX + Wald,Borken-Coesfeld,mittlerer_rix_prozent,0.3443501907557694
Distanz + RIX + Wald,Borken-Coesfeld,waldanteilsdifferenz_rms,0.2515688075020357
Distanz + RIX + Wald,Lorup,distanz_m,-0.0384954508617575
Distanz + RIX + Wald,Lorup,mittlerer_rix_prozent,0.2862084420437389
Distanz + RIX + Wald,Lorup,waldanteilsdifferenz_rms,0.3405368305073754
Distanz + RIX + Wald,Ostfriesland,distanz_m,0.1482143513941676
Distanz + RIX + Wald,Ostfriesland,mittlerer_rix_prozent,0.3537222934984949
Distanz + RIX + Wald,Ostfriesland,waldanteilsdifferenz_rms,0.1902035053180217
Distanz + RIX + Wald,Paderborn,distanz_m,-0.0159406875326964
Distanz + RIX + Wald,Paderborn,mittlerer_rix_prozent,0.0710408413032285
Distanz + RIX + Wald,Paderborn,waldanteilsdifferenz_rms,0.052149867147568
Distanz + RIX + Wald,Rheda-Beckum,distanz_m,-0.0098526802652101
Distanz + RIX + Wald,Rheda-Beckum,mittlerer_rix_prozent,0.4100995572909866
Distanz + RIX + Wald,Rheda-Beckum,waldanteilsdifferenz_rms,0.2697895679895344
Distanz + RIX + Wind,Alpen-Sevelen,distanz_m,-0.0179856268481047
Distanz + RIX + Wind,Alpen-Sevelen,mittlerer_rix_prozent,0.2881741251945113
Distanz + RIX + Wind,Alpen-Sevelen,winddissimilaritaet_log_rms,0.4381570080468485
Distanz + RIX + Wind,Altenmellrich,distanz_m,0.1215730476625869
Distanz + RIX + Wind,Altenmellrich,mittlerer_rix_prozent,0.3035992978081367
Distanz + RIX + Wind,Altenmellrich,winddissimilaritaet_log_rms,0.3368289808288689
Distanz + RIX + Wind,Bad Berleburg,distanz_m,0.0156267984676195
